ENSEMBLID	X72h
ENSG00000000003	ENSG00000000003	0.0375924950754651
ENSG00000000005	ENSG00000000005	-0.0319185471060684
ENSG00000000419	ENSG00000000419	0.121233180110405
ENSG00000000457	ENSG00000000457	0.0345411893651981
ENSG00000000460	ENSG00000000460	0.0315316613689879
ENSG00000001036	ENSG00000001036	-0.0873891800103485
ENSG00000001084	ENSG00000001084	-0.0776617643982919
ENSG00000001167	ENSG00000001167	-0.123617901676735
ENSG00000001561	ENSG00000001561	0.227384669243882
ENSG00000001617	ENSG00000001617	0.0921782746973451
ENSG00000001626	ENSG00000001626	0.189188836397492
ENSG00000001629	ENSG00000001629	0.156900135232232
ENSG00000002016	ENSG00000002016	-0.224747613969902
ENSG00000002549	ENSG00000002549	0.0710549469792718
ENSG00000002745	ENSG00000002745	-0.193174731864616
ENSG00000002746	ENSG00000002746	-0.228808696374003
ENSG00000002834	ENSG00000002834	0.234690822907588
ENSG00000002919	ENSG00000002919	0.209554877122126
ENSG00000002933	ENSG00000002933	0.156562561754911
ENSG00000003056	ENSG00000003056	0.230741962975121
ENSG00000003096	ENSG00000003096	-0.0806497165154732
ENSG00000003393	ENSG00000003393	-0.156779169471786
ENSG00000003400	ENSG00000003400	0.0204468352941178
ENSG00000003402	ENSG00000003402	-0.0870979263093557
ENSG00000003436	ENSG00000003436	-0.102337577702522
ENSG00000003756	ENSG00000003756	-0.0632812204821027
ENSG00000003987	ENSG00000003987	-0.0918158899313359
ENSG00000004059	ENSG00000004059	-0.107964196597486
ENSG00000004139	ENSG00000004139	-0.0857804449077092
ENSG00000004455	ENSG00000004455	0.0412313405514123
ENSG00000004487	ENSG00000004487	-0.0134842444655279
ENSG00000004534	ENSG00000004534	0.0438496787274421
ENSG00000004660	ENSG00000004660	0.0235583652651687
ENSG00000004766	ENSG00000004766	0.0310703014848922
ENSG00000004777	ENSG00000004777	0.041518555928592
ENSG00000004809	ENSG00000004809	-0.469481677604275
ENSG00000004846	ENSG00000004846	0.23982281698556
ENSG00000004897	ENSG00000004897	-0.358581039002906
ENSG00000004948	ENSG00000004948	0.0487003470093269
ENSG00000004961	ENSG00000004961	-0.0104693651962737
ENSG00000005022	ENSG00000005022	-0.00906194009708165
ENSG00000005059	ENSG00000005059	-0.0746676709501755
ENSG00000005075	ENSG00000005075	-0.0201030736783716
ENSG00000005100	ENSG00000005100	0.141249782829611
ENSG00000005102	ENSG00000005102	0.0513988043732046
ENSG00000005108	ENSG00000005108	0.121594212417532
ENSG00000005156	ENSG00000005156	0.148916972174785
ENSG00000005189	ENSG00000005189	0.111198077168236
ENSG00000005194	ENSG00000005194	-0.0585308416752402
ENSG00000005243	ENSG00000005243	0.0795034393761451
ENSG00000005249	ENSG00000005249	0.182454631473923
ENSG00000005339	ENSG00000005339	0.0752951280923604
ENSG00000005448	ENSG00000005448	-0.0129382044234839
ENSG00000005469	ENSG00000005469	0.00886783078752273
ENSG00000005483	ENSG00000005483	-0.0516474608316573
ENSG00000005486	ENSG00000005486	-0.131906187113674
ENSG00000005513	ENSG00000005513	0.0869463772523655
ENSG00000005801	ENSG00000005801	0.0841373076442924
ENSG00000005810	ENSG00000005810	-0.137823112325937
ENSG00000005812	ENSG00000005812	-0.0349600289415572
ENSG00000005893	ENSG00000005893	0.0304312406997974
ENSG00000005961	ENSG00000005961	0.0337369713107497
ENSG00000006007	ENSG00000006007	-0.0276304625107834
ENSG00000006015	ENSG00000006015	-0.022327917811683
ENSG00000006016	ENSG00000006016	0.0112790601991305
ENSG00000006042	ENSG00000006042	-0.0173531972576031
ENSG00000006062	ENSG00000006062	0.108369283001634
ENSG00000006118	ENSG00000006118	-0.0993112684972027
ENSG00000006128	ENSG00000006128	-0.00935226386779942
ENSG00000006194	ENSG00000006194	-0.128928522891602
ENSG00000006282	ENSG00000006282	-0.109159388211485
ENSG00000006283	ENSG00000006283	-0.192048811099283
ENSG00000006432	ENSG00000006432	-0.292939207810283
ENSG00000006451	ENSG00000006451	-0.280427597895782
ENSG00000006459	ENSG00000006459	-0.219638967892915
ENSG00000006468	ENSG00000006468	-0.226772003071118
ENSG00000006530	ENSG00000006530	-0.27884047715225
ENSG00000006555	ENSG00000006555	0.274903622344651
ENSG00000006638	ENSG00000006638	-0.097083396156517
ENSG00000006652	ENSG00000006652	0.127979392975916
ENSG00000006659	ENSG00000006659	0.145930413179718
ENSG00000006695	ENSG00000006695	-0.174741206038547
ENSG00000006704	ENSG00000006704	-0.166556623435518
ENSG00000006712	ENSG00000006712	-0.162968101739983
ENSG00000006740	ENSG00000006740	-0.0649107309351814
ENSG00000006757	ENSG00000006757	-0.0736231329424945
ENSG00000006788	ENSG00000006788	0.107512340071119
ENSG00000006837	ENSG00000006837	0.207431421405828
ENSG00000007038	ENSG00000007038	-0.131119081098657
ENSG00000007047	ENSG00000007047	-0.129326907422092
ENSG00000007062	ENSG00000007062	-0.091197050898475
ENSG00000007080	ENSG00000007080	-0.184452946547757
