7h	12h	24h
ENSG00000000003	-0.164902776617349	-0.34291758831154	-0.0358409415777308
ENSG00000000938	0.36991459476766	-0.0449552317002736	-0.0123959099232508
ENSG00000001084	-0.296203676481089	-0.0471293405921097	-0.0375161741781544
ENSG00000001497	0.137978498173214	0.00252159293145304	0.249278127552301
ENSG00000002919	-0.0517976258500375	0.40958857148805	0.659985780591204
ENSG00000003137	-0.0832283256277968	-0.00577226636978168	0.396023676332685
ENSG00000003400	-0.0184286596480305	-0.286914836094583	-0.0355287888155006
ENSG00000003509	-0.0914855627481271	-0.142167880117385	0.0527743879917383
ENSG00000003756	-0.0589048877429539	-0.125185262115819	-0.0925405248111151
ENSG00000004468	0.0688576615883531	0.168847038926148	-0.113434869481228
ENSG00000004776	0.111473220976571	0.235712568584792	-0.112331783244531
ENSG00000004777	0.00779749939510369	0.00498414106097063	0.0410093114070473
ENSG00000004809	0.0925825576938675	0.460997843712925	-0.010331116786924
ENSG00000004866	0.100145363892167	0.110825995453205	0.047606093147623
ENSG00000005020	-0.0835923250947281	-0.130315109835388	0.160530999881313
ENSG00000005075	0.174963761819635	0.0865597823743996	-0.0949096277880876
ENSG00000005108	0.0564651250014654	-0.036813333454947	0.166482390087079
ENSG00000005156	0.152916637982315	-0.010352307270414	-0.202086775912588
ENSG00000005381	0.207702119285445	-0.0761268963468667	-0.0212744550956613
ENSG00000005469	0.130004529794727	-0.0610430085713123	-0.62962284504979
ENSG00000005981	-0.0490914614161933	0.0508098343682608	-0.0242560479856341
ENSG00000006007	0.0433995448872174	0.120598358413592	-0.120104546010876
ENSG00000006042	-0.153500361402387	0.145418247858726	0.110027220783279
ENSG00000006128	0.109201694293827	-0.174695367205172	0.0257506150862321
ENSG00000006283	0.224955753828493	0.0971529296524671	0.0188567251110655
ENSG00000006432	0.127488459690015	0.274185200146828	-0.233652612476892
ENSG00000006576	-0.0456143956267277	-0.121264370500328	0.207513611691497
ENSG00000006837	-0.153271314696559	-0.412275038581594	-0.0524514297598332
ENSG00000007237	-0.106156935109849	0.114589884967801	-0.0248532266859574
ENSG00000007312	0.155600022377601	0.22521984006827	0.0152076263036468
ENSG00000007933	-0.0323675136677339	0.199305622001283	0.103646789984856
ENSG00000008018	0.0997575479389129	-0.189384460196231	-0.0711705505166214
ENSG00000008226	-0.0326278578073159	1.02397091702984	0.0821864377207782
ENSG00000008282	-0.0475894219454226	-0.0753321617488141	0.063487310553198
ENSG00000008323	0.0186344296562435	0.067975498766363	-0.0618513964477086
ENSG00000008513	0.042095955316087	-0.0400835567221017	-0.0401615442598162
ENSG00000008988	0.0905501092207646	-0.413589462801676	-0.135088372703526
ENSG00000009765	-0.0148457667594754	0.0112736109643154	0.0425977902621485
ENSG00000009844	0.0328798004816052	0.376426386824362	0.030283633730219
ENSG00000009950	0.00126622706579186	0.370211066173895	0.00777264629690884
ENSG00000010030	-0.0803423569828521	0.219931019340676	0.081184633956342
ENSG00000010319	0.0261693323333319	0.0475458545160935	-0.207025269022843
ENSG00000010361	-0.180206715541093	0.00476693152132087	0.136190582674055
ENSG00000010379	-0.18407017320458	-0.0455046142163062	-0.0957238283699221
ENSG00000011143	-0.119895178213952	-0.180758657068007	0.0459700889523725
ENSG00000011304	0.0150765726961586	-0.177190445659964	0.244060044391931
ENSG00000011638	0.263878891550079	-0.172014860301029	-0.0884004671860564
ENSG00000012124	-0.0228005427881408	-0.234502751550364	-0.222946421499046
ENSG00000012983	0.332651663671581	0.047082877171721	0.803677270683765
ENSG00000013503	-0.0745362226424922	0.0779978551355285	0.209275365246753
ENSG00000013573	-0.093903613232212	-0.0714480822475873	0.150588483152645
ENSG00000013619	0.296457732383261	0.0876764264693405	0.146434708248981
ENSG00000015475	-0.13309439754567	0.134901997860254	-0.0387195569914474
ENSG00000015479	0.0895381085146626	-0.2789761703531	0.147718946283242
ENSG00000017797	0.0331245403796074	0.154416875460461	-0.186657925642067
ENSG00000018869	-0.470782342311532	0.0416984697059289	0.168051505425076
ENSG00000022556	-0.0519204957677986	0.0319644482977779	-0.151576351455093
ENSG00000023041	0.0192143964645573	-0.0380184933725989	-0.244443725432014
ENSG00000023287	0.00790769818330705	0.0141614942507943	0.241690043096433
ENSG00000023839	-0.0646010768253544	-0.0924617929546988	0.0261487113655363
ENSG00000023909	0.0167856375784359	-0.0667614427130318	-0.198640087150549
ENSG00000025039	-0.0401336273004806	0.0605385194397655	-0.0900851247607761
ENSG00000025423	0.255388097114786	-0.0171778808734215	0.432238071086321
ENSG00000027075	0.141540909918015	-0.0427274141138797	-0.235092273465436
ENSG00000027869	-0.431904668493165	0.0694783993067422	-0.251428496270073
ENSG00000028116	-0.187746984934905	0.106648217358781	0.281539990641021
ENSG00000028310	-0.11288476946667	-0.100265719184949	-0.222790703230552
ENSG00000029153	0.0266731116899252	-0.0174290898510886	0.0365191406269935
ENSG00000029559	-0.0119577243544657	0.0750851096605303	-0.0869549961638416
ENSG00000031698	0.256537508372367	0.228393863846282	0.343569471262171
ENSG00000033050	0.117649001910731	-0.232616801139795	-0.0549217787952347
ENSG00000033100	0.0545559621537176	-0.123961784094522	-0.0369750159524038
ENSG00000033867	0.0625387185015054	-0.0274725360405202	-0.0172007999267366
ENSG00000034510	0.046966178262438	-0.00319809465406381	-0.101880852464761
