X18.logFC	X18.P.Value
ENSG00000000419	1.17067662666666	0.0384560058883697
ENSG00000001461	0.925515429926838	0.0549338288233802
ENSG00000001629	-1.02789181077256	0.0494259447142724
ENSG00000002549	-2.49933854666667	0.0172819288828369
ENSG00000002587	-1.47547348	0.0358720562044507
ENSG00000003096	1.36286382866667	0.0748558628364932
ENSG00000003400	-1.85619649335834	0.0230008221230403
ENSG00000003402	-1.64059429567381	0.025765427733841
ENSG00000004399	1.12130385066667	0.0767690983690498
ENSG00000004487	1.275202448	0.0371754777614335
ENSG00000004534	0.829551736666665	0.077824192541946
ENSG00000004700	0.747108866666667	0.0769956226502215
ENSG00000004799	1.43305524666667	0.0364979328507362
ENSG00000004864	0.645097693520703	0.0930026390090592
ENSG00000004939	-0.9311120415147	0.0639128071315193
ENSG00000005020	0.802127451000003	0.0665753589881012
ENSG00000005059	-2.930350571	0.0171833587012548
ENSG00000005189	0.569532621666667	0.0987413365380826
ENSG00000005469	1.79514035433333	0.0315552878848939
ENSG00000005483	0.673308045029667	0.0872114890674097
ENSG00000005810	-1.1978341184985	0.0515708883798814
ENSG00000006062	-0.945102688999999	0.0654202971561734
ENSG00000006210	-2.45990399077656	0.0329442778720495
ENSG00000006576	1.28403781579157	0.0546692689936216
ENSG00000006606	-2.4315153134981	0.0845972831633632
ENSG00000006634	1.31665385766667	0.0777611875871955
ENSG00000006659	-2.36358168	0.020162692095271
ENSG00000006747	-2.35989129833333	0.0275192018822018
ENSG00000007171	-4.77799382233333	0.0584120844229785
ENSG00000007933	1.52626752042241	0.065538026207723
ENSG00000008086	-1.26902469333333	0.0336322694251005
ENSG00000008118	-1.81231969766667	0.0489802266903346
ENSG00000008282	0.640697327513776	0.0872994062462227
ENSG00000008405	0.654931067094311	0.0983629168188375
ENSG00000008853	1.19609308166667	0.0361292408376244
ENSG00000008952	1.0843148904732	0.0427021264405288
ENSG00000009765	1.10050760633333	0.0889433684408228
ENSG00000010030	-3.951421534	0.0172819288828369
ENSG00000010278	1.08650499666667	0.0534195835440168
ENSG00000010292	0.888990029999999	0.055709233828766
ENSG00000010803	0.715239778333334	0.0971062145981135
ENSG00000011105	-1.18966556510488	0.0768066172073424
ENSG00000011198	0.628612063333336	0.0843776943327772
ENSG00000011201	1.961787972	0.025765427733841
ENSG00000011258	0.922912476577099	0.0633829075036121
ENSG00000011260	0.866446076666668	0.0949582233017471
ENSG00000011295	0.651536728165357	0.0930439700499575
ENSG00000011422	-2.82989832733333	0.0329442778720495
ENSG00000011523	1.5978468078611	0.0310565944606467
ENSG00000011566	1.35487915106687	0.0337724601774145
ENSG00000012232	0.925533654512155	0.0884480287300018
ENSG00000012983	0.705896625658873	0.0740669749980456
ENSG00000013374	-2.96114567867953	0.0205628559808955
ENSG00000013375	0.656825422388052	0.0998597818750167
ENSG00000013392	0.68361026033333	0.0759821698860211
ENSG00000013441	1.14373462755912	0.0467294473401769
ENSG00000014138	-1.21821958633333	0.0540182556425549
ENSG00000016864	0.76713725	0.0932450869917891
ENSG00000017260	1.04240432532523	0.0601507442998993
ENSG00000018510	1.21801976693264	0.0427021264405288
ENSG00000018699	0.650799653333332	0.0896594079790586
ENSG00000019144	1.04306046466667	0.0756893865829814
ENSG00000019995	0.670016317115315	0.0780960203639188
ENSG00000020129	-0.791547507333333	0.0800155676601065
ENSG00000020633	-1.77063873366667	0.0242283420453145
ENSG00000020922	1.2972836289378	0.0502733440173707
ENSG00000021355	-1.04010686657015	0.0437197671994861
ENSG00000023171	-1.51011551433333	0.0765593505242228
ENSG00000023287	1.25816765333333	0.0464998359186396
ENSG00000023445	-2.27267221333333	0.0422874964854267
ENSG00000023608	0.635114342666666	0.0857641339540318
ENSG00000023734	0.588722201525832	0.0983609731196951
